0.9379,0.9201,0.9121,0.9378,0.9378,0.8061,0.8533,0.8436
0.9664,0.9443,0.9185,0.9661,0.9661,0.8028,0.8578,0.8569
0.9677,0.9459,0.9181,0.9676,0.9676,0.8035,0.8581,0.8549
0.7674,0.7388,0.7574,0.7674,0.7674,0.6799,0.7173,0.7537
0.7843,0.7567,0.7975,0.7843,0.7843,0.6784,0.7074,0.7920
0.9162,0.9056,0.8550,0.9162,0.9162,0.6968,0.7615,0.8491
0.7153,0.6686,0.6987,0.7154,0.7154,0.6590,0.7089,0.6829
0.7962,0.7434,0.7838,0.7962,0.7962,0.7052,0.7548,0.7559
0.9171,0.8922,0.8640,0.9171,0.9171,0.6742,0.8058,0.8355
0.7542,0.7545,0.7514,0.7542,0.7542,0.7285,0.7298,0.7265
0.8706,0.8720,0.8699,0.8706,0.8706,0.8131,0.8161,0.8349
0.8572,0.8583,0.8569,0.8572,0.8572,0.7737,0.7764,0.8349
0.7180,0.7115,0.7453,0.7180,0.7180,0.6491,0.6729,0.6559
0.8909,0.8841,0.8521,0.8909,0.8909,0.7864,0.8361,0.7864
0.8601,0.8591,0.8108,0.8601,0.8601,0.7309,0.7907,0.7630
0.8438,0.8459,0.8119,0.8438,0.8438,0.7233,0.8081,0.8331
0.8841,0.8841,0.8455,0.8841,0.8841,0.7607,0.8268,0.8023
0.9054,0.9064,0.8690,0.9054,0.9054,0.7179,0.8116,0.8239
0.9131,0.9135,0.9047,0.9131,0.9131,0.7237,0.7254,0.8544
0.9758,0.9750,0.9684,0.9758,0.9758,0.7676,0.7693,0.9029
0.9788,0.9788,0.9701,0.9788,0.9788,0.7754,0.7771,0.9020
