0.9690,0.9499,0.9553,0.9690,0.9690,0.8179,0.8940,0.8640
0.9894,0.9736,0.9618,0.9894,0.9894,0.8113,0.9007,0.8803
0.9900,0.9743,0.9622,0.9900,0.9900,0.8121,0.9015,0.8783
0.7193,0.6533,0.7051,0.7193,0.7193,0.5356,0.6332,0.6962
0.7492,0.6939,0.7756,0.7492,0.7492,0.5298,0.5985,0.7661
0.9621,0.9500,0.8924,0.9621,0.9621,0.6181,0.7669,0.8825
0.6345,0.5027,0.5935,0.6345,0.6345,0.4570,0.5929,0.5611
0.7846,0.6725,0.7582,0.7846,0.7846,0.6016,0.7034,0.7039
0.9616,0.9341,0.9073,0.9616,0.9616,0.5619,0.8365,0.8658
0.6936,0.6945,0.6872,0.6936,0.6936,0.6472,0.6499,0.6313
0.9105,0.9109,0.9097,0.9105,0.9105,0.8304,0.8339,0.8620
0.8843,0.8834,0.8839,0.8843,0.8843,0.7573,0.7636,0.8513
0.5228,0.5052,0.6299,0.5228,0.5228,0.4209,0.4741,0.4082
0.9359,0.9285,0.8843,0.9359,0.9359,0.7908,0.8735,0.7336
0.8790,0.8789,0.8013,0.8790,0.8790,0.6780,0.7874,0.6929
0.8639,0.8658,0.8236,0.8639,0.8639,0.6743,0.8274,0.8522
0.9225,0.9223,0.8760,0.9225,0.9225,0.7452,0.8579,0.8132
0.9401,0.9420,0.9090,0.9401,0.9401,0.6677,0.8323,0.8378
0.9087,0.9089,0.9081,0.9087,0.9087,0.6708,0.6746,0.8672
0.9944,0.9939,0.9928,0.9944,0.9944,0.7793,0.7821,0.9475
0.9951,0.9951,0.9934,0.9951,0.9951,0.7909,0.7938,0.9472
